136  53117 |Loss: 0.086 | Acc: 97.369% 
136  53118 |Loss: 0.086 | Acc: 97.372% 
136  53119 |Loss: 0.086 | Acc: 97.366% 
136  53120 |Loss: 0.086 | Acc: 97.372% 
136  53121 |Loss: 0.086 | Acc: 97.368% 
136  53122 |Loss: 0.086 | Acc: 97.371% 
136  53123 |Loss: 0.086 | Acc: 97.363% 
136  53124 |Loss: 0.086 | Acc: 97.366% 
136  53125 |Loss: 0.086 | Acc: 97.374% 
136  53126 |Loss: 0.086 | Acc: 97.377% 
136  53127 |Loss: 0.086 | Acc: 97.373% 
136  53128 |Loss: 0.086 | Acc: 97.374% 
136  53129 |Loss: 0.086 | Acc: 97.375% 
136  53130 |Loss: 0.086 | Acc: 97.378% 
136  53131 |Loss: 0.086 | Acc: 97.374% 
136  53132 |Loss: 0.086 | Acc: 97.382% 
136  53133 |Loss: 0.086 | Acc: 97.387% 
136  53134 |Loss: 0.086 | Acc: 97.392% 
136  53135 |Loss: 0.086 | Acc: 97.395% 
136  53136 |Loss: 0.086 | Acc: 97.394% 
136  53137 |Loss: 0.086 | Acc: 97.390% 
136  53138 |Loss: 0.086 | Acc: 97.393% 
136  53139 |Loss: 0.086 | Acc: 97.396% 
136  53140 |Loss: 0.085 | Acc: 97.399% 
136  53141 |Loss: 0.085 | Acc: 97.402% 
136  53142 |Loss: 0.085 | Acc: 97.405% 
136  53143 |Loss: 0.085 | Acc: 97.401% 
136  53144 |Loss: 0.085 | Acc: 97.397% 
136  53145 |Loss: 0.085 | Acc: 97.394% 
136  53146 |Loss: 0.085 | Acc: 97.399% 
136  53147 |Loss: 0.085 | Acc: 97.397% 
136  53148 |Loss: 0.085 | Acc: 97.398% 
136  53149 |Loss: 0.085 | Acc: 97.394% 
136  53150 |Loss: 0.085 | Acc: 97.391% 
136  53151 |Loss: 0.085 | Acc: 97.392% 
136  53152 |Loss: 0.085 | Acc: 97.392% 
136  53153 |Loss: 0.085 | Acc: 97.389% 
136  53154 |Loss: 0.085 | Acc: 97.392% 
136  53155 |Loss: 0.085 | Acc: 97.392% 
136  53156 |Loss: 0.085 | Acc: 97.397% 
136  53157 |Loss: 0.084 | Acc: 97.402% 
136  53158 |Loss: 0.084 | Acc: 97.403% 
136  53159 |Loss: 0.084 | Acc: 97.408% 
136  53160 |Loss: 0.084 | Acc: 97.408% 
136  53161 |Loss: 0.084 | Acc: 97.403% 
136  53162 |Loss: 0.084 | Acc: 97.399% 
136  53163 |Loss: 0.084 | Acc: 97.398% 
136  53164 |Loss: 0.084 | Acc: 97.397% 
136  53165 |Loss: 0.084 | Acc: 97.397% 
136  53166 |Loss: 0.084 | Acc: 97.396% 
136  53167 |Loss: 0.084 | Acc: 97.392% 
136  53168 |Loss: 0.084 | Acc: 97.389% 
136  53169 |Loss: 0.084 | Acc: 97.390% 
136  53170 |Loss: 0.084 | Acc: 97.392% 
136  53171 |Loss: 0.084 | Acc: 97.391% 
136  53172 |Loss: 0.084 | Acc: 97.390% 
136  53173 |Loss: 0.084 | Acc: 97.390% 
136  53174 |Loss: 0.084 | Acc: 97.393% 
136  53175 |Loss: 0.084 | Acc: 97.390% 
136  53176 |Loss: 0.084 | Acc: 97.390% 
137  53177 |Loss: 0.149 | Acc: 94.531% 
137  53178 |Loss: 0.113 | Acc: 96.094% 
137  53179 |Loss: 0.083 | Acc: 97.396% 
137  53180 |Loss: 0.084 | Acc: 97.266% 
137  53181 |Loss: 0.080 | Acc: 97.500% 
137  53182 |Loss: 0.092 | Acc: 97.135% 
137  53183 |Loss: 0.087 | Acc: 97.321% 
137  53184 |Loss: 0.081 | Acc: 97.559% 
137  53185 |Loss: 0.079 | Acc: 97.569% 
137  53186 |Loss: 0.074 | Acc: 97.734% 
137  53187 |Loss: 0.075 | Acc: 97.727% 
137  53188 |Loss: 0.073 | Acc: 97.786% 
137  53189 |Loss: 0.071 | Acc: 97.837% 
137  53190 |Loss: 0.070 | Acc: 97.824% 
137  53191 |Loss: 0.067 | Acc: 97.917% 
137  53192 |Loss: 0.071 | Acc: 97.803% 
137  53193 |Loss: 0.070 | Acc: 97.840% 
137  53194 |Loss: 0.074 | Acc: 97.613% 
137  53195 |Loss: 0.076 | Acc: 97.615% 
137  53196 |Loss: 0.075 | Acc: 97.617% 
137  53197 |Loss: 0.075 | Acc: 97.656% 
137  53198 |Loss: 0.072 | Acc: 97.727% 
137  53199 |Loss: 0.072 | Acc: 97.656% 
137  53200 |Loss: 0.074 | Acc: 97.656% 
137  53201 |Loss: 0.074 | Acc: 97.688% 
137  53202 |Loss: 0.074 | Acc: 97.716% 
137  53203 |Loss: 0.075 | Acc: 97.627% 
137  53204 |Loss: 0.073 | Acc: 97.684% 
137  53205 |Loss: 0.073 | Acc: 97.710% 
137  53206 |Loss: 0.072 | Acc: 97.708% 
137  53207 |Loss: 0.073 | Acc: 97.656% 
137  53208 |Loss: 0.073 | Acc: 97.705% 
137  53209 |Loss: 0.074 | Acc: 97.656% 
137  53210 |Loss: 0.073 | Acc: 97.679% 
137  53211 |Loss: 0.072 | Acc: 97.701% 
137  53212 |Loss: 0.071 | Acc: 97.721% 
137  53213 |Loss: 0.073 | Acc: 97.656% 
137  53214 |Loss: 0.072 | Acc: 97.615% 
137  53215 |Loss: 0.073 | Acc: 97.616% 
137  53216 |Loss: 0.072 | Acc: 97.637% 
137  53217 |Loss: 0.071 | Acc: 97.675% 
137  53218 |Loss: 0.071 | Acc: 97.712% 
137  53219 |Loss: 0.071 | Acc: 97.747% 
137  53220 |Loss: 0.071 | Acc: 97.727% 
137  53221 |Loss: 0.070 | Acc: 97.760% 
137  53222 |Loss: 0.070 | Acc: 97.758% 
137  53223 |Loss: 0.069 | Acc: 97.806% 
137  53224 |Loss: 0.070 | Acc: 97.754% 
137  53225 |Loss: 0.069 | Acc: 97.784% 
137  53226 |Loss: 0.069 | Acc: 97.812% 
137  53227 |Loss: 0.068 | Acc: 97.855% 
137  53228 |Loss: 0.068 | Acc: 97.867% 
137  53229 |Loss: 0.067 | Acc: 97.877% 
137  53230 |Loss: 0.068 | Acc: 97.859% 
137  53231 |Loss: 0.068 | Acc: 97.869% 
137  53232 |Loss: 0.067 | Acc: 97.866% 
137  53233 |Loss: 0.068 | Acc: 97.848% 
137  53234 |Loss: 0.067 | Acc: 97.885% 
137  53235 |Loss: 0.067 | Acc: 97.868% 
137  53236 |Loss: 0.068 | Acc: 97.865% 
137  53237 |Loss: 0.067 | Acc: 97.887% 
137  53238 |Loss: 0.067 | Acc: 97.896% 
137  53239 |Loss: 0.068 | Acc: 97.867% 
137  53240 |Loss: 0.067 | Acc: 97.888% 
137  53241 |Loss: 0.067 | Acc: 97.897% 
137  53242 |Loss: 0.068 | Acc: 97.881% 
137  53243 |Loss: 0.068 | Acc: 97.866% 
137  53244 |Loss: 0.069 | Acc: 97.817% 
137  53245 |Loss: 0.069 | Acc: 97.837% 
137  53246 |Loss: 0.068 | Acc: 97.835% 
137  53247 |Loss: 0.069 | Acc: 97.777% 
137  53248 |Loss: 0.069 | Acc: 97.776% 
137  53249 |Loss: 0.070 | Acc: 97.763% 
137  53250 |Loss: 0.070 | Acc: 97.751% 
137  53251 |Loss: 0.069 | Acc: 97.771% 
137  53252 |Loss: 0.069 | Acc: 97.780% 
137  53253 |Loss: 0.068 | Acc: 97.778% 
137  53254 |Loss: 0.068 | Acc: 97.796% 
137  53255 |Loss: 0.068 | Acc: 97.814% 
137  53256 |Loss: 0.068 | Acc: 97.812% 
137  53257 |Loss: 0.068 | Acc: 97.791% 
137  53258 |Loss: 0.068 | Acc: 97.818% 
137  53259 |Loss: 0.068 | Acc: 97.826% 
137  53260 |Loss: 0.069 | Acc: 97.824% 
137  53261 |Loss: 0.069 | Acc: 97.822% 
137  53262 |Loss: 0.068 | Acc: 97.829% 
137  53263 |Loss: 0.068 | Acc: 97.836% 
137  53264 |Loss: 0.068 | Acc: 97.843% 
137  53265 |Loss: 0.069 | Acc: 97.823% 
137  53266 |Loss: 0.069 | Acc: 97.812% 
137  53267 |Loss: 0.069 | Acc: 97.811% 
137  53268 |Loss: 0.069 | Acc: 97.835% 
137  53269 |Loss: 0.070 | Acc: 97.782% 
137  53270 |Loss: 0.069 | Acc: 97.798% 
137  53271 |Loss: 0.069 | Acc: 97.804% 
137  53272 |Loss: 0.069 | Acc: 97.811% 
137  53273 |Loss: 0.068 | Acc: 97.833% 
137  53274 |Loss: 0.068 | Acc: 97.832% 
137  53275 |Loss: 0.068 | Acc: 97.814% 
137  53276 |Loss: 0.068 | Acc: 97.828% 
137  53277 |Loss: 0.068 | Acc: 97.834% 
137  53278 |Loss: 0.068 | Acc: 97.832% 
137  53279 |Loss: 0.069 | Acc: 97.823% 
137  53280 |Loss: 0.069 | Acc: 97.829% 
137  53281 |Loss: 0.068 | Acc: 97.842% 
137  53282 |Loss: 0.068 | Acc: 97.826% 
137  53283 |Loss: 0.068 | Acc: 97.824% 
137  53284 |Loss: 0.068 | Acc: 97.823% 
137  53285 |Loss: 0.068 | Acc: 97.835% 
137  53286 |Loss: 0.068 | Acc: 97.841% 
137  53287 |Loss: 0.068 | Acc: 97.846% 
137  53288 |Loss: 0.068 | Acc: 97.859% 
137  53289 |Loss: 0.068 | Acc: 97.857% 
137  53290 |Loss: 0.068 | Acc: 97.855% 
137  53291 |Loss: 0.067 | Acc: 97.874% 
137  53292 |Loss: 0.068 | Acc: 97.845% 
137  53293 |Loss: 0.068 | Acc: 97.857% 
137  53294 |Loss: 0.069 | Acc: 97.861% 
137  53295 |Loss: 0.069 | Acc: 97.860% 
137  53296 |Loss: 0.069 | Acc: 97.852% 
137  53297 |Loss: 0.069 | Acc: 97.843% 
137  53298 |Loss: 0.069 | Acc: 97.842% 
137  53299 |Loss: 0.068 | Acc: 97.860% 
137  53300 |Loss: 0.068 | Acc: 97.864% 
137  53301 |Loss: 0.068 | Acc: 97.850% 
137  53302 |Loss: 0.068 | Acc: 97.848% 
137  53303 |Loss: 0.068 | Acc: 97.841% 
