201  156632 |Loss: 0.004 | Acc: 99.939% 
201  156633 |Loss: 0.004 | Acc: 99.940% 
201  156634 |Loss: 0.004 | Acc: 99.940% 
201  156635 |Loss: 0.004 | Acc: 99.940% 
201  156636 |Loss: 0.004 | Acc: 99.940% 
201  156637 |Loss: 0.004 | Acc: 99.941% 
201  156638 |Loss: 0.004 | Acc: 99.941% 
201  156639 |Loss: 0.004 | Acc: 99.941% 
201  156640 |Loss: 0.004 | Acc: 99.941% 
201  156641 |Loss: 0.004 | Acc: 99.942% 
201  156642 |Loss: 0.004 | Acc: 99.942% 
201  156643 |Loss: 0.004 | Acc: 99.942% 
201  156644 |Loss: 0.004 | Acc: 99.942% 
201  156645 |Loss: 0.004 | Acc: 99.943% 
201  156646 |Loss: 0.004 | Acc: 99.943% 
201  156647 |Loss: 0.004 | Acc: 99.943% 
201  156648 |Loss: 0.004 | Acc: 99.943% 
201  156649 |Loss: 0.004 | Acc: 99.944% 
201  156650 |Loss: 0.004 | Acc: 99.944% 
201  156651 |Loss: 0.004 | Acc: 99.938% 
201  156652 |Loss: 0.004 | Acc: 99.938% 
201  156653 |Loss: 0.004 | Acc: 99.938% 
201  156654 |Loss: 0.004 | Acc: 99.938% 
201  156655 |Loss: 0.004 | Acc: 99.933% 
201  156656 |Loss: 0.004 | Acc: 99.933% 
201  156657 |Loss: 0.004 | Acc: 99.933% 
201  156658 |Loss: 0.004 | Acc: 99.933% 
201  156659 |Loss: 0.004 | Acc: 99.934% 
201  156660 |Loss: 0.004 | Acc: 99.934% 
201  156661 |Loss: 0.004 | Acc: 99.934% 
201  156662 |Loss: 0.004 | Acc: 99.934% 
201  156663 |Loss: 0.004 | Acc: 99.935% 
201  156664 |Loss: 0.004 | Acc: 99.935% 
201  156665 |Loss: 0.004 | Acc: 99.935% 
201  156666 |Loss: 0.004 | Acc: 99.935% 
201  156667 |Loss: 0.004 | Acc: 99.936% 
201  156668 |Loss: 0.004 | Acc: 99.936% 
201  156669 |Loss: 0.004 | Acc: 99.930% 
201  156670 |Loss: 0.004 | Acc: 99.931% 
201  156671 |Loss: 0.004 | Acc: 99.931% 
201  156672 |Loss: 0.004 | Acc: 99.931% 
201  156673 |Loss: 0.004 | Acc: 99.931% 
201  156674 |Loss: 0.004 | Acc: 99.932% 
201  156675 |Loss: 0.004 | Acc: 99.932% 
201  156676 |Loss: 0.004 | Acc: 99.932% 
201  156677 |Loss: 0.004 | Acc: 99.932% 
201  156678 |Loss: 0.004 | Acc: 99.933% 
201  156679 |Loss: 0.004 | Acc: 99.933% 
201  156680 |Loss: 0.004 | Acc: 99.933% 
201  156681 |Loss: 0.004 | Acc: 99.933% 
201  156682 |Loss: 0.004 | Acc: 99.934% 
201  156683 |Loss: 0.004 | Acc: 99.934% 
201  156684 |Loss: 0.004 | Acc: 99.934% 
201  156685 |Loss: 0.004 | Acc: 99.934% 
201  156686 |Loss: 0.004 | Acc: 99.934% 
201  156687 |Loss: 0.004 | Acc: 99.935% 
201  156688 |Loss: 0.004 | Acc: 99.929% 
201  156689 |Loss: 0.004 | Acc: 99.930% 
201  156690 |Loss: 0.004 | Acc: 99.930% 
201  156691 |Loss: 0.004 | Acc: 99.930% 
